Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
FAM151B	-0.7487987087596426	7.153104761904762	-6.587329271418557	1.6524561708282326e-9	3.53989160914824e-5	11.214468586484992
DNALI1	-1.3693337528040703	6.730428571428571	-6.243424178974421	8.783739929203708e-9	9.408263838170092e-5	9.684274683440051
NSMCE1	-0.4963911838193721	7.547409523809524	-5.776679996506713	7.354446747419397e-8	4.1975061041599974e-4	7.737249366970074
APBB2	-0.6715355729423145	10.154361904761904	-5.6927896916698755	1.0751550820478638e-7	4.1975061041599974e-4	7.389722051230562
AG_0892	-1.6868439204099852	8.057342857142856	-5.694158296522578	1.1370310851563147e-7	4.1975061041599974e-4	7.341019067240843
CDCA7	1.089699731903484	8.989123809523809	5.675655703686327	1.1756622455867792e-7	4.1975061041599974e-4	7.30844703602318
ATP11A	0.7460316973974562	8.591285714285714	5.485614653688433	2.7141803244311823e-7	6.48812672947535e-4	6.542769887519505
CA12	-1.7815915996425356	7.539895238095238	-5.488608810591932	2.8390752050630935e-7	6.48812672947535e-4	6.504393407277114
RARRES1	1.5350717842096608	8.278409523809524	5.484002486001277	2.869283135218461e-7	6.48812672947535e-4	6.494262195513555
MKL2	-0.6472607466579122	9.13642857142857	-5.4588406027225815	3.0553646733330817e-7	6.48812672947535e-4	6.434532066615494
FOXS1	-0.7945428133719968	9.683990476190477	-5.431419342767923	3.4482339666306033e-7	6.48812672947535e-4	6.323975139742151
SLC39A6	-1.4683868067334163	8.44667619047619	-5.429408114139332	3.63446553793783e-7	6.48812672947535e-4	6.278061895712312
AG_0633	1.6235624555452184	8.422238095238095	5.395164335112295	4.2608233128269635e-7	7.021181308259939e-4	6.1332565657940545
KIAA0556	-0.5635135780853883	7.653790476190476	-5.287266746713381	6.478801049498291e-7	9.913491148739455e-4	5.747838592225518
IDO1	1.0531294705549767	8.519847619047619	5.272802458930333	6.987524652373578e-7	9.979116873543121e-4	5.679524340926545
AG_1762	-1.0352229213401172	9.008904761904763	-5.2515791856118845	7.654024855498877e-7	0.001024778252840606	5.59631144760308
AG_1249	0.7463456803632974	8.28767619047619	5.225257014146929	8.474552072892212e-7	0.0010678932617970407	5.502684272992475
AG_0538	-2.0507101639583425	8.712304761904761	-5.205060238362439	9.731397756415625e-7	0.0011581444596551972	5.379439345227658
CLEC3B	-0.8104538673378195	8.325209523809523	-5.122271534906831	1.3199359329616653e-6	0.0014798635453549035	5.09844563829963
